timestamp_unix,timestamp_iso,participant_full_id,counts_x_axis,counts_y_axis,counts_z_axis,vector_magnitude,missing_value_reason
1746576000000,2025-05-07T00:00:00Z,1481-1-1-007,515,397,395,760,
1746576060000,2025-05-07T00:01:00Z,1481-1-1-007,407,159,161,465,
1746576120000,2025-05-07T00:02:00Z,1481-1-1-007,99,487,282,571,
1746576180000,2025-05-07T00:03:00Z,1481-1-1-007,1868,1900,1721,3171,
1746576240000,2025-05-07T00:04:00Z,1481-1-1-007,4251,2579,2153,5418,
1746576300000,2025-05-07T00:05:00Z,1481-1-1-007,2255,1571,2167,3499,
1746576360000,2025-05-07T00:06:00Z,1481-1-1-007,562,342,468,807,
1746576420000,2025-05-07T00:07:00Z,1481-1-1-007,1261,1213,2096,2730,
1746576480000,2025-05-07T00:08:00Z,1481-1-1-007,4498,3023,3348,6370,
1746576540000,2025-05-07T00:09:00Z,1481-1-1-007,3682,2796,2888,5451,
1746576600000,2025-05-07T00:10:00Z,1481-1-1-007,3658,2384,1833,4735,
1746576660000,2025-05-07T00:11:00Z,1481-1-1-007,2945,2756,2739,4875,
1746576720000,2025-05-07T00:12:00Z,1481-1-1-007,2654,2438,2473,4370,
1746576780000,2025-05-07T00:13:00Z,1481-1-1-007,114,51,47,133,
1746576840000,2025-05-07T00:14:00Z,1481-1-1-007,1846,909,1101,2333,
1746576900000,2025-05-07T00:15:00Z,1481-1-1-007,15,40,34,54,
1746576960000,2025-05-07T00:16:00Z,1481-1-1-007,628,495,514,950,
1746577020000,2025-05-07T00:17:00Z,1481-1-1-007,757,787,1040,1507,
1746577080000,2025-05-07T00:18:00Z,1481-1-1-007,609,580,540,999,
1746577140000,2025-05-07T00:19:00Z,1481-1-1-007,159,158,105,247,
1746577200000,2025-05-07T00:20:00Z,1481-1-1-007,386,339,306,597,
1746577260000,2025-05-07T00:21:00Z,1481-1-1-007,1261,1118,1071,1996,
1746577320000,2025-05-07T00:22:00Z,1481-1-1-007,0,0,0,0,
1746577380000,2025-05-07T00:23:00Z,1481-1-1-007,0,0,0,0,
1746577440000,2025-05-07T00:24:00Z,1481-1-1-007,0,0,0,0,
1746577500000,2025-05-07T00:25:00Z,1481-1-1-007,3441,3757,3962,6453,
1746577560000,2025-05-07T00:26:00Z,1481-1-1-007,3244,3018,2817,5250,
1746577620000,2025-05-07T00:27:00Z,1481-1-1-007,2675,2522,2140,4253,
1746577680000,2025-05-07T00:28:00Z,1481-1-1-007,2838,2759,2666,4772,
1746577740000,2025-05-07T00:29:00Z,1481-1-1-007,516,641,272,866,
1746577800000,2025-05-07T00:30:00Z,1481-1-1-007,0,0,146,146,
1746577860000,2025-05-07T00:31:00Z,1481-1-1-007,1054,1345,1314,2155,
